epoch,train_loss,val_loss,val_iou,val_dice,val_pixel_acc
1,0.09175318616767579,0.01745892841176226,0.7042464424303808,0.7128687698530685,0.9994706148388742
2,0.01043711106294606,0.005573144115657471,0.7064227264473516,0.7168081197265371,0.9994691925487299
3,0.004835830714938382,0.003060421138338145,0.7044029999130685,0.7156726021930958,0.9994729579180136
4,0.0031026221347387056,0.0020155373086949446,0.7046588926121606,0.7185181238654116,0.9994778879757585
5,0.0022885412430234077,0.0014320948872388736,0.7088919802451809,0.7215272878539724,0.9994775920078672
6,0.0019189085977592963,0.0011913256390868611,0.7093339834394338,0.7223383248020229,0.9994774741687994
7,0.0016306539944465012,0.0009811294565161947,0.7054832850481579,0.715246290616989,0.9994721960747379
8,0.0014616445201096658,0.0009174590438421034,0.7028433105974446,0.7102757846431758,0.9994664795097263
9,0.0013629145860898442,0.0008219931164760431,0.7014768419733022,0.7076706794179441,0.999463711661854
10,0.0013204439829916214,0.0008073205508167278,0.7014743333419469,0.7076557264893404,0.9994624866836372
11,0.0012321260332386775,0.0007206099419807747,0.7067880949224387,0.7176142280658251,0.9994670193770836
12,0.0012078095557412024,0.0007018603296012446,0.719708957589377,0.7405358328296839,0.9994827933695124
13,0.0011792730138090377,0.0006718869515617402,0.7203599643391021,0.741697302923592,0.9994822370594946
14,0.0011131159147606603,0.0006909332045032134,0.7362379720611937,0.7675415960491189,0.9994842321023174
15,0.0010993659855955164,0.0006785890682713007,0.7548842498645701,0.7949775683298878,0.9995006966864926
16,0.0010954775631596854,0.0006411425317947896,0.8892414603885973,0.9320583116043167,0.9997725404542068
17,0.0010530762569834378,0.0006168533918021606,0.8973621478647897,0.9371689463295111,0.9997935815789234
18,0.0009163786013611406,0.00046783168010273816,0.9141127222751118,0.9489056104131194,0.999812833194075
19,0.0007292886515296908,0.0004564160539167073,0.8987115133074551,0.9356182314750592,0.9998047845116977
20,0.0007301655645813904,0.0005550558646492631,0.894647001572132,0.9352732164545974,0.9997609319358036
21,0.0006806146341042908,0.0005452986762698313,0.8935903389400275,0.9352283835840262,0.9997612690103466
22,0.0006434074097769404,0.000557174824886412,0.8928352476222203,0.933974997476338,0.9997555853306562
